source_lang	source_text	target_lang	target_text
en	hi	"Break the ice"	"बर्फ तोड़ना"	"Used to describe making people feel more comfortable and starting a conversation."
en	ta	"Burn the midnight oil"	"அரிவினை தூக்குவது"	"Meaning to work late into the night, especially to complete a task."
en	te	"Hit the nail on the head"	"ఖచ్చితంగా చెప్పటం"	"Refers to doing or saying something exactly right."
en	kn	"Actions speak louder than words"	"ಕಾರ್ಯಗಳು ಮಾತುಗಳಿಗಿಂತ ಶಕ್ತಿಯುತವಾಗಿವೆ"	"Indicating that what one does is more significant than what one says."
en	ml	"Cat's out of the bag"	"പട്ടി പുറത്ത് വന്നു"	"Meaning a secret has been revealed unintentionally."
hi	en	"Naak kat gaya"	"I've been embarrassed"	"Used when someone feels embarrassed after a mistake or a wrong decision."
ta	en	"Vaalai katti kaattuthu"	"Spinning the yarn"	"Describes telling a tall tale or exaggerating a story."
te	en	"Chadigundali baadha padatam"	"Fighting against fate"	"Refers to situations where one is struggling against inevitable circumstances."
kn	en	"Bandhuvu aadi tappu"	"Making the wrong connection"	"Meaning to falsely assume someone is trustworthy or capable."
ml	en	"Koottukarude thallu"	"Push from behind"	"Refers to someone nudging another into a risky situation."
en	hi	"Hit the sack"	"सॉक्स को मारो"	"Used when someone is going to bed to sleep."
en	ta	"Under the weather"	"மலர்ந்த நிலை"	"Meaning someone is feeling unwell."
en	te	"Cost an arm and a leg"	"ఒక కాలం మరియు పాదం ఖర్చు"	"Refers to something being extremely expensive."
en	kn	"Throw in the towel"	"ಒದಗಿಸು ಹೂವಿಗೆ"	"To quit or surrender, usually in a challenging situation."
en	ml	"Hit the road"	"சாலைப் போ"	"Refers to starting a journey or traveling."
hi	en	"Man ka ho toh accha, na ho toh zyada accha"	"If it happens according to your wish, it's great, if not, it's even better"	"Describes a stoic attitude to fate and things happening unexpectedly."
ta	en	"Kannai katti parakkum"	"Eyes wide open"	"Meaning something is easy to spot or understand."
te	en	"Rendu ammayi lanti vishayam"	"Like a double-edged sword"	"Refers to something that can have both positive and negative consequences."
kn	en	"Jeevana melukote"	"Turning life around"	"Used to describe a significant change in someone's life."
ml	en	"Veedu vilangiya kadha"	"A well-told story"	"Refers to a story or tale being captivating and beautifully narrated."
en	hi	"On cloud nine"	"आसमान में होना"	"Refers to someone being very happy."
en	ta	"Jump on the bandwagon"	"பேண்ட் வாகனத்தில் குதிக்கவும்"	"Meaning to join something popular or trending."
en	te	"Bring home the bacon"	"మాంసం తెచ్చుకో"	"Meaning to earn a living or provide for the family."
en	kn	"Piece of cake"	"ಕೇಕ್ ತುಂಡು"	"Refers to something that is very easy to do."
en	ml	"Put all your eggs in one basket"	"ஒரே கிளியில் அனைத்து முட்டைகளையும் வைக்கவும்"	"Warning not to rely on one single thing for your success."
hi	en	"Chhup rahi hai zindagi"	"Life is hiding"	"Used when someone is feeling lonely or disconnected from life."
ta	en	"Vizhiyinri vaazhum"	"Living without sight"	"Refers to living without the clarity of understanding."
te	en	"Shilpalu kallu pettu"	"Make a bad situation worse"	"Refers to worsening a problem instead of solving it."
kn	en	"Uduge puchcha"	"Blame the pigeon"	"Used when someone wrongly blames others for their own mistakes."
ml	en	"Avalinte marakkam"	"Her forgotten memory"	"Refers to something that has been forgotten and can never be recovered."
en	hi	Beat around the bush	इधर-उधर की बातें करना	Avoiding the main topic
hi	en	रस्सी जल गई, बल नहीं गया	Even in defeat, arrogance persists	Person stays stubborn even after failure
ta	en	கடவுள் அருளால் குளிர்ந்தது	By God's grace, it cooled down	Refers to divine intervention easing tension
fr	en	Appeler un chat un chat	To call a spade a spade	Speaking bluntly or directly
ar	en	بلغ السيل الزبى	The flood has reached the rooftop	Situation has reached an unbearable limit
zh	en	纸上谈兵	Armchair strategist	Someone who talks but lacks real experience
te	en	అంతా హవా మజాకే	Everything is just a joke	No seriousness in action or speech
kn	en	ಕಣ್ಣು ಮುಚ್ಚಿದರೆ ಜಗತ್ತೇ ಕತ್ತಲೆ	If I close my eyes, the world is dark	Ignorance doesn't eliminate reality
ml	en	പുഴയില്‍ നിന്നാല്‍ മത്സ്യം കിട്ടും	If you stay in the river, you’ll get a fish	Patience and consistency leads to reward
es	en	No tener pelos en la lengua	To not have hairs on one's tongue	To speak frankly
en	es	Hit the nail on the head	Dar en el clavo	To be exactly right about something
en	fr	Let the cat out of the bag	Vendre la mèche	To reveal a secret
en	ar	Break the ice	كسر الجليد	To initiate conversation in a tense setting
hi	en	रस्सी जल गयी, बल नहीं गया	Even after hitting rock bottom, their arrogance remained.
hi	en	ऊँट के मुँह में जीरा	A drop in the ocean.
hi	en	नाक कट गई	Complete disgrace or humiliation.
hi	en	तेल देखो तेल की धार देखो	Wait and watch before acting.
ta	en	தலைக்கு மேல் நீர் வந்துவிட்டது	Things are out of control now.
ta	en	அரிசி இல்லாமல் குழம்பு போட்ட மாதிரி	Doing things backwards.
te	en	ఆ మేక పిల్లను తల మీద ఎక్కించుకున్నాను	I gave them too much power.
te	en	కుక్క బొమ్మ పెట్టుకుని పాలు కాస్తే ఎలా వస్తుంది?	You can't get results doing nothing.
kn	en	ಮೂಸಿದ ಬಾಯಿಗೆ ಮಂತ್ರ ಇಲ್ಲ	You can’t chant with your mouth shut.
ml	en	വേലക്കാരൻ രാജാവായി പോയിരിക്കുന്നു	The servant has become the king.
fr	en	Les carottes sont cuites	It’s all over now.
fr	en	Se creuser la tête	To rack one’s brain.
fr	en	C’est la goutte d’eau qui fait déborder le vase	It’s the last straw.
ja	en	猫に小判	Giving pearls to a pig.
ja	en	猿も木から落ちる	Even experts make mistakes.
en	hi	Barking up the wrong tree	गलत दिशा में प्रयास करना
en	ta	Let the cat out of the bag	ரகசியத்தை வெளியிட்டு விட்டேன்
en	te	Break the ice	చర్చ మొదలు పెట్టడం
en	kn	Spill the beans	ರಹಸ್ಯವನ್ನು ಬಹಿರಂಗ ಪಡಿಸು
en	ml	Hit the nail on the head	സൂചകമായി പറയുക

